1773899509.600969 server started (4143): version 3.6, socket /tmp/tmux-1001/default, protocol 8
1773899509.600980 on Linux 5.15.0-139-generic #149~20.04.1-Ubuntu SMP Wed Apr 16 08:29:56 UTC 2025
1773899509.600984 using libevent 2.1.12-stable poll
1773899509.600986 using ncurses 6.5 20240427
1773899509.606059 cmdq_append <global>: [bind-key/0x55b5d879e4e0]
1773899509.606062 yylex_token: end at WS
1773899509.606064 yylex_token: bind
1773899509.606065 yylex_token: end at WS
1773899509.606067 yylex_token: -N
1773899509.606069 yylex_token: end at WS
1773899509.606070 yylex_token: Set the main-horizontal layout
1773899509.606072 yylex_token: end at WS
1773899509.606073 yylex_token: M-3
1773899509.606075 yylex_token: end at WS
1773899509.606077 yylex_token: select-layout
1773899509.606078 yylex_token: end at WS
1773899509.606080 yylex_token: main-horizontal
1773899509.606082 cmd_parse_build_commands 0:0: bind
1773899509.606083 cmd_parse_build_commands 0:1: -N
1773899509.606085 cmd_parse_build_commands 0:2: Set the main-horizontal layout
1773899509.606087 cmd_parse_build_commands 0:3: M-3
1773899509.606089 cmd_parse_build_commands 0:4 0:0: select-layout
1773899509.606090 cmd_parse_build_commands 0:4 0:1: main-horizontal
1773899509.606092 cmd_parse_build_commands 0:0: select-layout
1773899509.606094 cmd_parse_build_commands 0:1: main-horizontal
1773899509.606097 args_parse_flags: next main-horizontal
1773899509.606100 args_parse: flags end at 1 of 2
1773899509.606102 args_parse: 1 = main-horizontal (type STRING)
1773899509.606104 cmd_parse_build_commands: select-layout main-horizontal
1773899509.606106 args_parse_flags: next -N
1773899509.606108 args_parse_flag_argument: -N = Set the main-horizontal layout
1773899509.606109 args_parse_flags: next M-3
1773899509.606111 args_parse: flags end at 3 of 5
1773899509.606112 args_parse: 3 = M-3 (type STRING)
1773899509.606115 args_parse: 4 = select-layout main-horizontal (type COMMANDS)
1773899509.606119 cmd_parse_build_commands: bind-key -N "Set the main-horizontal layout" M-3 { select-layout main-horizontal }
1773899509.606121 cmdq_get_command: [bind-key/0x55b5d879ec80] group 546
1773899509.606123 cmdq_append <global>: [bind-key/0x55b5d879ec80]
1773899509.606126 yylex_token: end at WS
1773899509.606127 yylex_token: bind
1773899509.606129 yylex_token: end at WS
1773899509.606130 yylex_token: -N
1773899509.606132 yylex_token: end at WS
1773899509.606133 yylex_token: Set the main-vertical layout
1773899509.606135 yylex_token: end at WS
1773899509.606136 yylex_token: M-4
1773899509.606138 yylex_token: end at WS
1773899509.606140 yylex_token: select-layout
1773899509.606141 yylex_token: end at WS
1773899509.606143 yylex_token: main-vertical
1773899509.606145 cmd_parse_build_commands 0:0: bind
1773899509.606146 cmd_parse_build_commands 0:1: -N
1773899509.606148 cmd_parse_build_commands 0:2: Set the main-vertical layout
1773899509.606150 cmd_parse_build_commands 0:3: M-4
1773899509.606151 cmd_parse_build_commands 0:4 0:0: select-layout
1773899509.606153 cmd_parse_build_commands 0:4 0:1: main-vertical
1773899509.606155 cmd_parse_build_commands 0:0: select-layout
1773899509.606157 cmd_parse_build_commands 0:1: main-vertical
1773899509.606159 args_parse_flags: next main-vertical
1773899509.606161 args_parse: flags end at 1 of 2
1773899509.606162 args_parse: 1 = main-vertical (type STRING)
1773899509.606165 cmd_parse_build_commands: select-layout main-vertical
1773899509.606167 args_parse_flags: next -N
1773899509.606168 args_parse_flag_argument: -N = Set the main-vertical layout
1773899509.606170 args_parse_flags: next M-4
1773899509.606171 args_parse: flags end at 3 of 5
1773899509.606173 args_parse: 3 = M-4 (type STRING)
1773899509.606175 args_parse: 4 = select-layout main-vertical (type COMMANDS)
1773899509.606179 cmd_parse_build_commands: bind-key -N "Set the main-vertical layout" M-4 { select-layout main-vertical }
1773899509.606182 cmdq_get_command: [bind-key/0x55b5d879f1a0] group 554
1773899509.606183 cmdq_append <global>: [bind-key/0x55b5d879f1a0]
1773899509.606186 yylex_token: end at WS
1773899509.606187 yylex_token: bind
1773899509.606189 yylex_token: end at WS
1773899509.606190 yylex_token: -N
1773899509.606192 yylex_token: end at WS
1773899509.606194 yylex_token: Select the tiled layout
1773899509.606195 yylex_token: end at WS
1773899509.606197 yylex_token: M-5
1773899509.606198 yylex_token: end at WS
1773899509.606200 yylex_token: select-layout
1773899509.606202 yylex_token: end at WS
1773899509.606203 yylex_token: tiled
1773899509.606205 cmd_parse_build_commands 0:0: bind
1773899509.606206 cmd_parse_build_commands 0:1: -N
1773899509.606208 cmd_parse_build_commands 0:2: Select the tiled layout
1773899509.606210 cmd_parse_build_commands 0:3: M-5
1773899509.606212 cmd_parse_build_commands 0:4 0:0: select-layout
1773899509.606213 cmd_parse_build_commands 0:4 0:1: tiled
1773899509.606215 cmd_parse_build_commands 0:0: select-layout
1773899509.606217 cmd_parse_build_commands 0:1: tiled
1773899509.606219 args_parse_flags: next tiled
1773899509.606221 args_parse: flags end at 1 of 2
1773899509.606223 args_parse: 1 = tiled (type STRING)
1773899509.606225 cmd_parse_build_commands: select-layout tiled
1773899509.606227 args_parse_flags: next -N
1773899509.606229 args_parse_flag_argument: -N = Select the tiled layout
1773899509.606230 args_parse_flags: next M-5
1773899509.606232 args_parse: flags end at 3 of 5
1773899509.606233 args_parse: 3 = M-5 (type STRING)
1773899509.606237 args_parse: 4 = select-layout tiled (type COMMANDS)
1773899509.606242 cmd_parse_build_commands: bind-key -N "Select the tiled layout" M-5 { select-layout tiled }
1773899509.606244 cmdq_get_command: [bind-key/0x55b5d879f5a0] group 562
1773899509.606246 cmdq_append <global>: [bind-key/0x55b5d879f5a0]
1773899509.606249 yylex_token: end at WS
1773899509.606251 yylex_token: bind
1773899509.606252 yylex_token: end at WS
1773899509.606254 yylex_token: -N
1773899509.606256 yylex_token: end at WS
1773899509.606258 yylex_token: Set the main-horizontal-mirrored layout
1773899509.606259 yylex_token: end at WS
1773899509.606261 yylex_token: M-6
1773899509.606262 yylex_token: end at WS
1773899509.606264 yylex_token: select-layout
1773899509.606266 yylex_token: end at WS
1773899509.606267 yylex_token: main-horizontal-mirrored
1773899509.606269 cmd_parse_build_commands 0:0: bind
1773899509.606271 cmd_parse_build_commands 0:1: -N
1773899509.606273 cmd_parse_build_commands 0:2: Set the main-horizontal-mirrored layout
1773899509.606274 cmd_parse_build_commands 0:3: M-6
1773899509.606276 cmd_parse_build_commands 0:4 0:0: select-layout
1773899509.606278 cmd_parse_build_commands 0:4 0:1: main-horizontal-mirrored
1773899509.606280 cmd_parse_build_commands 0:0: select-layout
1773899509.606282 cmd_parse_build_commands 0:1: main-horizontal-mirrored
1773899509.606284 args_parse_flags: next main-horizontal-mirrored
1773899509.606286 args_parse: flags end at 1 of 2
1773899509.606288 args_parse: 1 = main-horizontal-mirrored (type STRING)
1773899509.606291 cmd_parse_build_commands: select-layout main-horizontal-mirrored
1773899509.606292 args_parse_flags: next -N
1773899509.606294 args_parse_flag_argument: -N = Set the main-horizontal-mirrored layout
1773899509.606296 args_parse_flags: next M-6
1773899509.606297 args_parse: flags end at 3 of 5
1773899509.606299 args_parse: 3 = M-6 (type STRING)
1773899509.606301 args_parse: 4 = select-layout main-horizontal-mirrored (type COMMANDS)
1773899509.606306 cmd_parse_build_commands: bind-key -N "Set the main-horizontal-mirrored layout" M-6 { select-layout main-horizontal-mirrored }
1773899509.606308 cmdq_get_command: [bind-key/0x55b5d879ffa0] group 570
1773899509.606310 cmdq_append <global>: [bind-key/0x55b5d879ffa0]
1773899509.606312 yylex_token: end at WS
1773899509.606314 yylex_token: bind
1773899509.606316 yylex_token: end at WS
1773899509.606317 yylex_token: -N
1773899509.606319 yylex_token: end at WS
1773899509.606321 yylex_token: Set the main-vertical-mirrored layout
1773899509.606323 yylex_token: end at WS
1773899509.606324 yylex_token: M-7
1773899509.606326 yylex_token: end at WS
1773899509.606327 yylex_token: select-layout
1773899509.606329 yylex_token: end at WS
1773899509.606330 yylex_token: main-vertical-mirrored
1773899509.606333 cmd_parse_build_commands 0:0: bind
1773899509.606334 cmd_parse_build_commands 0:1: -N
1773899509.606336 cmd_parse_build_commands 0:2: Set the main-vertical-mirrored layout
1773899509.606338 cmd_parse_build_commands 0:3: M-7
1773899509.606339 cmd_parse_build_commands 0:4 0:0: select-layout
1773899509.606341 cmd_parse_build_commands 0:4 0:1: main-vertical-mirrored
1773899509.606343 cmd_parse_build_commands 0:0: select-layout
1773899509.606345 cmd_parse_build_commands 0:1: main-vertical-mirrored
1773899509.606348 args_parse_flags: next main-vertical-mirrored
1773899509.606349 args_parse: flags end at 1 of 2
1773899509.606351 args_parse: 1 = main-vertical-mirrored (type STRING)
1773899509.606354 cmd_parse_build_commands: select-layout main-vertical-mirrored
1773899509.606355 args_parse_flags: next -N
1773899509.606357 args_parse_flag_argument: -N = Set the main-vertical-mirrored layout
1773899509.606359 args_parse_flags: next M-7
1773899509.606361 args_parse: flags end at 3 of 5
1773899509.606362 args_parse: 3 = M-7 (type STRING)
1773899509.606365 args_parse: 4 = select-layout main-vertical-mirrored (type COMMANDS)
1773899509.606369 cmd_parse_build_commands: bind-key -N "Set the main-vertical-mirrored layout" M-7 { select-layout main-vertical-mirrored }
1773899509.606373 cmdq_get_command: [bind-key/0x55b5d87a0660] group 578
1773899509.606375 cmdq_append <global>: [bind-key/0x55b5d87a0660]
1773899509.606380 yylex_token: end at WS
1773899509.606381 yylex_token: bind
1773899509.606383 yylex_token: end at WS
1773899509.606385 yylex_token: -N
1773899509.606387 yylex_token: end at WS
1773899509.606388 yylex_token: Select the next window with an alert
1773899509.606390 yylex_token: end at WS
1773899509.606391 yylex_token: M-n
1773899509.606393 yylex_token: end at WS
1773899509.606394 yylex_token: next-window
1773899509.606396 yylex_token: end at WS
1773899509.606397 yylex_token: -a
1773899509.606399 cmd_parse_build_commands 0:0: bind
1773899509.606401 cmd_parse_build_commands 0:1: -N
1773899509.606403 cmd_parse_build_commands 0:2: Select the next window with an alert
1773899509.606404 cmd_parse_build_commands 0:3: M-n
1773899509.606406 cmd_parse_build_commands 0:4 0:0: next-window
1773899509.606408 cmd_parse_build_commands 0:4 0:1: -a
1773899509.606410 cmd_parse_build_commands 0:0: next-window
1773899509.606412 cmd_parse_build_commands 0:1: -a
1773899509.606414 args_parse_flags: next -a
1773899509.606416 args_parse_flags: -a
1773899509.606417 args_parse: flags end at 2 of 2
1773899509.606420 cmd_parse_build_commands: next-window -a
1773899509.606421 args_parse_flags: next -N
1773899509.606423 args_parse_flag_argument: -N = Select the next window with an alert
1773899509.606425 args_parse_flags: next M-n
1773899509.606426 args_parse: flags end at 3 of 5
1773899509.606428 args_parse: 3 = M-n (type STRING)
1773899509.606430 args_parse: 4 = next-window -a (type COMMANDS)
1773899509.606435 cmd_parse_build_commands: bind-key -N "Select the next window with an alert" M-n { next-window -a }
1773899509.606437 cmdq_get_command: [bind-key/0x55b5d87a08f0] group 586
1773899509.606439 cmdq_append <global>: [bind-key/0x55b5d87a08f0]
1773899509.606441 yylex_token: end at WS
1773899509.606443 yylex_token: bind
1773899509.606444 yylex_token: end at WS
1773899509.606446 yylex_token: -N
1773899509.606448 yylex_token: end at WS
1773899509.606449 yylex_token: Rotate through the panes in reverse
1773899509.606451 yylex_token: end at WS
1773899509.606452 yylex_token: M-o
1773899509.606454 yylex_token: end at WS
1773899509.606456 yylex_token: rotate-window
1773899509.606457 yylex_token: end at WS
1773899509.606459 yylex_token: -D
1773899509.606460 cmd_parse_build_commands 0:0: bind
1773899509.606462 cmd_parse_build_commands 0:1: -N
1773899509.606464 cmd_parse_build_commands 0:2: Rotate through the panes in reverse
1773899509.606465 cmd_parse_build_commands 0:3: M-o
1773899509.606467 cmd_parse_build_commands 0:4 0:0: rotate-window
1773899509.606469 cmd_parse_build_commands 0:4 0:1: -D
1773899509.606471 cmd_parse_build_commands 0:0: rotate-window
1773899509.606472 cmd_parse_build_commands 0:1: -D
1773899509.606475 args_parse_flags: next -D
1773899509.606477 args_parse_flags: -D
1773899509.606478 args_parse: flags end at 2 of 2
1773899509.606480 cmd_parse_build_commands: rotate-window -D
1773899509.606482 args_parse_flags: next -N
1773899509.606484 args_parse_flag_argument: -N = Rotate through the panes in reverse
1773899509.606485 args_parse_flags: next M-o
1773899509.606487 args_parse: flags end at 3 of 5
1773899509.606488 args_parse: 3 = M-o (type STRING)
1773899509.606491 args_parse: 4 = rotate-window -D (type COMMANDS)
1773899509.606495 cmd_parse_build_commands: bind-key -N "Rotate through the panes in reverse" M-o { rotate-window -D }
1773899509.606497 cmdq_get_command: [bind-key/0x55b5d87a1030] group 594
1773899509.606499 cmdq_append <global>: [bind-key/0x55b5d87a1030]
1773899509.606501 yylex_token: end at WS
1773899509.606502 yylex_token: bind
1773899509.606504 yylex_token: end at WS
1773899509.606505 yylex_token: -N
1773899509.606508 yylex_token: end at WS
1773899509.606509 yylex_token: Select the previous window with an alert
1773899509.606511 yylex_token: end at WS
1773899509.606512 yylex_token: M-p
1773899509.606514 yylex_token: end at WS
1773899509.606516 yylex_token: previous-window
1773899509.606519 yylex_token: end at WS
1773899509.606520 yylex_token: -a
1773899509.606522 cmd_parse_build_commands 0:0: bind
1773899509.606524 cmd_parse_build_commands 0:1: -N
1773899509.606526 cmd_parse_build_commands 0:2: Select the previous window with an alert
1773899509.606527 cmd_parse_build_commands 0:3: M-p
1773899509.606529 cmd_parse_build_commands 0:4 0:0: previous-window
1773899509.606531 cmd_parse_build_commands 0:4 0:1: -a
1773899509.606533 cmd_parse_build_commands 0:0: previous-window
1773899509.606534 cmd_parse_build_commands 0:1: -a
1773899509.606537 args_parse_flags: next -a
1773899509.606539 args_parse_flags: -a
1773899509.606540 args_parse: flags end at 2 of 2
1773899509.606542 cmd_parse_build_commands: previous-window -a
1773899509.606544 args_parse_flags: next -N
1773899509.606546 args_parse_flag_argument: -N = Select the previous window with an alert
1773899509.606548 args_parse_flags: next M-p
1773899509.606549 args_parse: flags end at 3 of 5
1773899509.606551 args_parse: 3 = M-p (type STRING)
1773899509.606553 args_parse: 4 = previous-window -a (type COMMANDS)
1773899509.606557 cmd_parse_build_commands: bind-key -N "Select the previous window with an alert" M-p { previous-window -a }
1773899509.606559 cmdq_get_command: [bind-key/0x55b5d87a1870] group 602
1773899509.606561 cmdq_append <global>: [bind-key/0x55b5d87a1870]
1773899509.606564 yylex_token: end at WS
1773899509.606566 yylex_token: bind
1773899509.606568 yylex_token: end at WS
1773899509.606569 yylex_token: -N
1773899509.606571 yylex_token: end at WS
1773899509.606573 yylex_token: Move the visible part of the window up
1773899509.606574 yylex_token: end at WS
1773899509.606576 yylex_token: -r
1773899509.606577 yylex_token: end at WS
1773899509.606579 yylex_token: S-Up
1773899509.606580 yylex_token: end at WS
1773899509.606582 yylex_token: refresh-client
1773899509.606583 yylex_token: end at WS
1773899509.606585 yylex_token: -U
1773899509.606586 yylex_token: end at WS
1773899509.606588 yylex_token: 10
1773899509.606590 cmd_parse_build_commands 0:0: bind
1773899509.606591 cmd_parse_build_commands 0:1: -N
1773899509.606593 cmd_parse_build_commands 0:2: Move the visible part of the window up
1773899509.606595 cmd_parse_build_commands 0:3: -r
1773899509.606596 cmd_parse_build_commands 0:4: S-Up
1773899509.606598 cmd_parse_build_commands 0:5 0:0: refresh-client
1773899509.606600 cmd_parse_build_commands 0:5 0:1: -U
1773899509.606601 cmd_parse_build_commands 0:5 0:2: 10
1773899509.606604 cmd_parse_build_commands 0:0: refresh-client
1773899509.606605 cmd_parse_build_commands 0:1: -U
1773899509.606607 cmd_parse_build_commands 0:2: 10
1773899509.606609 args_parse_flags: next -U
1773899509.606611 args_parse_flags: -U
1773899509.606613 args_parse_flags: next 10
1773899509.606614 args_parse: flags end at 2 of 3
1773899509.606616 args_parse: 2 = 10 (type STRING)
1773899509.606618 cmd_parse_build_commands: refresh-client -U 10
1773899509.606620 args_parse_flags: next -N
1773899509.606622 args_parse_flag_argument: -N = Move the visible part of the window up
1773899509.606623 args_parse_flags: next -r
1773899509.606625 args_parse_flags: -r
1773899509.606626 args_parse_flags: next S-Up
1773899509.606628 args_parse: flags end at 4 of 6
1773899509.606629 args_parse: 4 = S-Up (type STRING)
1773899509.606632 args_parse: 5 = refresh-client -U 10 (type COMMANDS)
1773899509.606637 cmd_parse_build_commands: bind-key -r -N "Move the visible part of the window up" S-Up { refresh-client -U 10 }
1773899509.606639 cmdq_get_command: [bind-key/0x55b5d87a2170] group 610
1773899509.606641 cmdq_append <global>: [bind-key/0x55b5d87a2170]
1773899509.606644 yylex_token: end at WS
1773899509.606645 yylex_token: bind
1773899509.606647 yylex_token: end at WS
1773899509.606648 yylex_token: -N
1773899509.606650 yylex_token: end at WS
1773899509.606652 yylex_token: Move the visible part of the window down
1773899509.606653 yylex_token: end at WS
1773899509.606655 yylex_token: -r
1773899509.606656 yylex_token: end at WS
1773899509.606658 yylex_token: S-Down
1773899509.606662 yylex_token: end at WS
1773899509.606663 yylex_token: refresh-client
1773899509.606665 yylex_token: end at WS
1773899509.606666 yylex_token: -D
1773899509.606668 yylex_token: end at WS
1773899509.606669 yylex_token: 10
1773899509.606671 cmd_parse_build_commands 0:0: bind
1773899509.606673 cmd_parse_build_commands 0:1: -N
1773899509.606675 cmd_parse_build_commands 0:2: Move the visible part of the window down
1773899509.606676 cmd_parse_build_commands 0:3: -r
1773899509.606678 cmd_parse_build_commands 0:4: S-Down
1773899509.606680 cmd_parse_build_commands 0:5 0:0: refresh-client
1773899509.606682 cmd_parse_build_commands 0:5 0:1: -D
1773899509.606683 cmd_parse_build_commands 0:5 0:2: 10
1773899509.606685 cmd_parse_build_commands 0:0: refresh-client
1773899509.606687 cmd_parse_build_commands 0:1: -D
1773899509.606688 cmd_parse_build_commands 0:2: 10
1773899509.606691 args_parse_flags: next -D
1773899509.606692 args_parse_flags: -D
1773899509.606694 args_parse_flags: next 10
1773899509.606696 args_parse: flags end at 2 of 3
1773899509.606697 args_parse: 2 = 10 (type STRING)
1773899509.606700 cmd_parse_build_commands: refresh-client -D 10
1773899509.606701 args_parse_flags: next -N
1773899509.606703 args_parse_flag_argument: -N = Move the visible part of the window down
1773899509.606705 args_parse_flags: next -r
1773899509.606706 args_parse_flags: -r
1773899509.606708 args_parse_flags: next S-Down
1773899509.606709 args_parse: flags end at 4 of 6
1773899509.606711 args_parse: 4 = S-Down (type STRING)
1773899509.606714 args_parse: 5 = refresh-client -D 10 (type COMMANDS)
1773899509.606718 cmd_parse_build_commands: bind-key -r -N "Move the visible part of the window down" S-Down { refresh-client -D 10 }
1773899509.606721 cmdq_get_command: [bind-key/0x55b5d87a29f0] group 618
1773899509.606722 cmdq_append <global>: [bind-key/0x55b5d87a29f0]
1773899509.606726 yylex_token: end at WS
1773899509.606727 yylex_token: bind
1773899509.606729 yylex_token: end at WS
1773899509.606730 yylex_token: -N
1773899509.606733 yylex_token: end at WS
1773899509.606734 yylex_token: Move the visible part of the window left
1773899509.606736 yylex_token: end at WS
1773899509.606737 yylex_token: -r
1773899509.606739 yylex_token: end at WS
1773899509.606740 yylex_token: S-Left
1773899509.606742 yylex_token: end at WS
1773899509.606744 yylex_token: refresh-client
1773899509.606745 yylex_token: end at WS
1773899509.606746 yylex_token: -L
1773899509.606748 yylex_token: end at WS
1773899509.606749 yylex_token: 10
1773899509.606751 cmd_parse_build_commands 0:0: bind
1773899509.606753 cmd_parse_build_commands 0:1: -N
1773899509.606755 cmd_parse_build_commands 0:2: Move the visible part of the window left
1773899509.606756 cmd_parse_build_commands 0:3: -r
1773899509.606758 cmd_parse_build_commands 0:4: S-Left
1773899509.606760 cmd_parse_build_commands 0:5 0:0: refresh-client
1773899509.606761 cmd_parse_build_commands 0:5 0:1: -L
1773899509.606763 cmd_parse_build_commands 0:5 0:2: 10
1773899509.606765 cmd_parse_build_commands 0:0: refresh-client
1773899509.606767 cmd_parse_build_commands 0:1: -L
1773899509.606768 cmd_parse_build_commands 0:2: 10
1773899509.606771 args_parse_flags: next -L
1773899509.606773 args_parse_flags: -L
1773899509.606774 args_parse_flags: next 10
1773899509.606776 args_parse: flags end at 2 of 3
1773899509.606777 args_parse: 2 = 10 (type STRING)
1773899509.606780 cmd_parse_build_commands: refresh-client -L 10
1773899509.606781 args_parse_flags: next -N
1773899509.606783 args_parse_flag_argument: -N = Move the visible part of the window left
1773899509.606785 args_parse_flags: next -r
1773899509.606786 args_parse_flags: -r
1773899509.606788 args_parse_flags: next S-Left
1773899509.606789 args_parse: flags end at 4 of 6
1773899509.606791 args_parse: 4 = S-Left (type STRING)
1773899509.606793 args_parse: 5 = refresh-client -L 10 (type COMMANDS)
1773899509.606798 cmd_parse_build_commands: bind-key -r -N "Move the visible part of the window left" S-Left { refresh-client -L 10 }
1773899509.606800 cmdq_get_command: [bind-key/0x55b5d87a3300] group 626
1773899509.606804 cmdq_append <global>: [bind-key/0x55b5d87a3300]
1773899509.606809 yylex_token: end at WS
1773899509.606811 yylex_token: bind
1773899509.606813 yylex_token: end at WS
1773899509.606814 yylex_token: -N
1773899509.606816 yylex_token: end at WS
1773899509.606818 yylex_token: Move the visible part of the window right
1773899509.606820 yylex_token: end at WS
1773899509.606821 yylex_token: -r
1773899509.606823 yylex_token: end at WS
1773899509.606824 yylex_token: S-Right
1773899509.606826 yylex_token: end at WS
1773899509.606827 yylex_token: refresh-client
1773899509.606829 yylex_token: end at WS
1773899509.606830 yylex_token: -R
1773899509.606832 yylex_token: end at WS
1773899509.606836 yylex_token: 10
1773899509.606842 cmd_parse_build_commands 0:0: bind
1773899509.606843 cmd_parse_build_commands 0:1: -N
1773899509.606845 cmd_parse_build_commands 0:2: Move the visible part of the window right
1773899509.606847 cmd_parse_build_commands 0:3: -r
1773899509.606849 cmd_parse_build_commands 0:4: S-Right
1773899509.606850 cmd_parse_build_commands 0:5 0:0: refresh-client
1773899509.606852 cmd_parse_build_commands 0:5 0:1: -R
1773899509.606854 cmd_parse_build_commands 0:5 0:2: 10
1773899509.606856 cmd_parse_build_commands 0:0: refresh-client
1773899509.606857 cmd_parse_build_commands 0:1: -R
1773899509.606859 cmd_parse_build_commands 0:2: 10
1773899509.606862 args_parse_flags: next -R
1773899509.606863 args_parse_flags: -R
1773899509.606865 args_parse_flags: next 10
1773899509.606866 args_parse: flags end at 2 of 3
1773899509.606868 args_parse: 2 = 10 (type STRING)
1773899509.606871 cmd_parse_build_commands: refresh-client -R 10
1773899509.606873 args_parse_flags: next -N
1773899509.606875 args_parse_flag_argument: -N = Move the visible part of the window right
1773899509.606876 args_parse_flags: next -r
1773899509.606878 args_parse_flags: -r
1773899509.606879 args_parse_flags: next S-Right
1773899509.606881 args_parse: flags end at 4 of 6
1773899509.606883 args_parse: 4 = S-Right (type STRING)
1773899509.606885 args_parse: 5 = refresh-client -R 10 (type COMMANDS)
1773899509.606891 cmd_parse_build_commands: bind-key -r -N "Move the visible part of the window right" S-Right { refresh-client -R 10 }
1773899509.606894 cmdq_get_command: [bind-key/0x55b5d87a37e0] group 634
1773899509.606896 cmdq_append <global>: [bind-key/0x55b5d87a37e0]
1773899509.606897 yylex_token: end at WS
1773899509.606899 yylex_token: bind
1773899509.606900 yylex_token: end at WS
1773899509.606902 yylex_token: -N
1773899509.606904 yylex_token: end at WS
1773899509.606906 yylex_token: Reset so the visible part of the window follows the cursor
1773899509.606908 yylex_token: end at WS
1773899509.606909 yylex_token: -r
1773899509.606911 yylex_token: end at WS
1773899509.606912 yylex_token: DC
1773899509.606914 yylex_token: end at WS
1773899509.606915 yylex_token: refresh-client
1773899509.606917 yylex_token: end at WS
1773899509.606918 yylex_token: -c
1773899509.606920 cmd_parse_build_commands 0:0: bind
1773899509.606922 cmd_parse_build_commands 0:1: -N
1773899509.606924 cmd_parse_build_commands 0:2: Reset so the visible part of the window follows the cursor
1773899509.606926 cmd_parse_build_commands 0:3: -r
1773899509.606927 cmd_parse_build_commands 0:4: DC
1773899509.606929 cmd_parse_build_commands 0:5 0:0: refresh-client
1773899509.606930 cmd_parse_build_commands 0:5 0:1: -c
1773899509.606933 cmd_parse_build_commands 0:0: refresh-client
1773899509.606934 cmd_parse_build_commands 0:1: -c
1773899509.606937 args_parse_flags: next -c
1773899509.606938 args_parse_flags: -c
1773899509.606940 args_parse: flags end at 2 of 2
1773899509.606942 cmd_parse_build_commands: refresh-client -c
1773899509.606944 args_parse_flags: next -N
1773899509.606946 args_parse_flag_argument: -N = Reset so the visible part of the window follows the cursor
1773899509.606948 args_parse_flags: next -r
1773899509.606949 args_parse_flags: -r
1773899509.606950 args_parse_flags: next DC
1773899509.606952 args_parse: flags end at 4 of 6
1773899509.606954 args_parse: 4 = DC (type STRING)
1773899509.606958 args_parse: 5 = refresh-client -c (type COMMANDS)
1773899509.606964 cmd_parse_build_commands: bind-key -r -N "Reset so the visible part of the window follows the cursor" DC { refresh-client -c }
1773899509.606966 cmdq_get_command: [bind-key/0x55b5d87a3e50] group 642
1773899509.606968 cmdq_append <global>: [bind-key/0x55b5d87a3e50]
1773899509.606971 yylex_token: end at WS
1773899509.606972 yylex_token: bind
1773899509.606974 yylex_token: end at WS
1773899509.606975 yylex_token: -N
1773899509.606977 yylex_token: end at WS
1773899509.606978 yylex_token: Resize the pane up by 5
1773899509.606980 yylex_token: end at WS
1773899509.606981 yylex_token: -r
1773899509.606983 yylex_token: end at WS
1773899509.606984 yylex_token: M-Up
1773899509.606986 yylex_token: end at WS
1773899509.606988 yylex_token: resize-pane
1773899509.606989 yylex_token: end at WS
1773899509.606991 yylex_token: -U
1773899509.606992 yylex_token: end at WS
1773899509.606994 yylex_token: 5
1773899509.606996 cmd_parse_build_commands 0:0: bind
1773899509.606998 cmd_parse_build_commands 0:1: -N
1773899509.606999 cmd_parse_build_commands 0:2: Resize the pane up by 5
1773899509.607001 cmd_parse_build_commands 0:3: -r
1773899509.607003 cmd_parse_build_commands 0:4: M-Up
1773899509.607005 cmd_parse_build_commands 0:5 0:0: resize-pane
1773899509.607006 cmd_parse_build_commands 0:5 0:1: -U
1773899509.607008 cmd_parse_build_commands 0:5 0:2: 5
1773899509.607010 cmd_parse_build_commands 0:0: resize-pane
1773899509.607012 cmd_parse_build_commands 0:1: -U
1773899509.607013 cmd_parse_build_commands 0:2: 5
1773899509.607016 args_parse_flags: next -U
1773899509.607017 args_parse_flags: -U
1773899509.607019 args_parse_flags: next 5
1773899509.607020 args_parse: flags end at 2 of 3
1773899509.607022 args_parse: 2 = 5 (type STRING)
1773899509.607025 cmd_parse_build_commands: resize-pane -U 5
1773899509.607026 args_parse_flags: next -N
1773899509.607028 args_parse_flag_argument: -N = Resize the pane up by 5
1773899509.607030 args_parse_flags: next -r
1773899509.607031 args_parse_flags: -r
1773899509.607033 args_parse_flags: next M-Up
1773899509.607034 args_parse: flags end at 4 of 6
1773899509.607036 args_parse: 4 = M-Up (type STRING)
1773899509.607039 args_parse: 5 = resize-pane -U 5 (type COMMANDS)
1773899509.607044 cmd_parse_build_commands: bind-key -r -N "Resize the pane up by 5" M-Up { resize-pane -U 5 }
1773899509.607047 cmdq_get_command: [bind-key/0x55b5d87a34c0] group 650
1773899509.607048 cmdq_append <global>: [bind-key/0x55b5d87a34c0]
1773899509.607052 yylex_token: end at WS
1773899509.607053 yylex_token: bind
1773899509.607055 yylex_token: end at WS
1773899509.607056 yylex_token: -N
1773899509.607058 yylex_token: end at WS
1773899509.607060 yylex_token: Resize the pane down by 5
1773899509.607062 yylex_token: end at WS
1773899509.607063 yylex_token: -r
1773899509.607065 yylex_token: end at WS
1773899509.607066 yylex_token: M-Down
1773899509.607068 yylex_token: end at WS
1773899509.607070 yylex_token: resize-pane
1773899509.607071 yylex_token: end at WS
1773899509.607073 yylex_token: -D
1773899509.607074 yylex_token: end at WS
1773899509.607076 yylex_token: 5
1773899509.607078 cmd_parse_build_commands 0:0: bind
